Sample,Type,Description,Reference,Source,SiO2 ,Al2O3 ,TiO2 ,FeO,Fe2O3 ,FeOT,CaO ,MgO,MnO ,Na2O,K2O,P2O5,LOI,Sum,Cu,V,Cr,Co,Ni,Zn,Rb,Sr,Y,Zr,Nb,Ba,Pb,Sc,Ga,Cs,Hf,Ta,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
HOR-06-01,Lava,Conos perifericos. ,"Ruprecht, 2012",Hornitos,53.55,17.42,0.81,NaN,NaN,7.48,9.46,5.55,0.14,3.3,0.98,0.17,NaN,98.9,98,241,109,NaN,32,73,21,668,15,69,2,251,7,31,18,NaN,NaN,NaN,2,NaN,8,22,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CLHE1,Lava,Conos perifericos. ,"Ruprecht, 2012",Hornitos,54.35,17.76,0.83,NaN,NaN,7.56,9.7,5.49,0.14,3.38,1,0.17,NaN,100.4,101,246,105,NaN,26,76,22,680,14,74,2,256,10,30,19,NaN,NaN,NaN,2,NaN,9,21,NaN,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CLHE2,Lava,Conos perifericos. ,"Ruprecht, 2012",Hornitos,54.08,17.02,0.79,NaN,NaN,7.67,9.45,6.92,0.14,3.3,0.99,0.17,NaN,100.5,98,231,199,NaN,60,76,23,663,13,74,3,258,11,29,18,NaN,NaN,NaN,3,NaN,10,24,NaN,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CLHE-TF-04,Lava,Conos perifericos. ,"Ruprecht, 2012",Hornitos,51.51,13.99,0.64,NaN,NaN,8.13,9.26,13.66,0.15,2.38,0.65,0.12,NaN,100.5,84,210,1209,NaN,347,70,14,468,13,57,0,161,5,31,15,NaN,NaN,NaN,1,NaN,10,14,NaN,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CLHW1,Lava,Conos perifericos. ,"Ruprecht, 2012",Hornitos,53.73,17.91,0.88,NaN,NaN,7.51,9.58,6.06,0.14,3.38,0.98,0.18,NaN,100.4,63,228,122,NaN,31,76,21,743,14,79,2,280,5,28,20,NaN,NaN,NaN,3,NaN,7,25,NaN,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CLHW4,Lava,Conos perifericos. ,"Ruprecht, 2012",Hornitos,54.17,17.66,0.83,NaN,NaN,7.39,9.47,5.34,0.13,3.46,1.07,0.18,NaN,99.7,99,234,139,NaN,48,78,24,704,15,82,4,276,12,28,20,NaN,NaN,NaN,3,NaN,9,26,NaN,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MP-17-01,Lava,Lava Manantial Pelado,"Winslow,2018",Manantial Pelado,52.49,17.78,0.7,NaN,NaN,7.51,9.41,6.93,0.14,2.92,0.94,0.15,NaN,98.97,82,201,169,NaN,70,64,20,702,14,64,2,243,9,28,18,1.07,1.84,0.14,3,0.95,9,23,3.08,13.18,3.09,0.98,2.82,0.44,NaN,NaN,1.53,0.22,1.4,0.22
MP-17-02,Lava,Lava Manantial Pelado,"Winslow,2018",Manantial Pelado,53.44,19.09,0.79,NaN,NaN,7.3,9.27,5.2,0.14,3.26,0.91,0.16,NaN,99.56,96,237,70,NaN,31,73,18,720,17,64,2,252,12,29,19,0.37,1.86,0.13,4,0.82,10,24,3.15,13.7,3.28,1.07,3.05,0.5,NaN,NaN,1.84,0.27,1.75,0.28
MP-17-03,Lava,Lava Manantial Pelado,"Winslow,2018",Manantial Pelado,53.24,17.46,0.69,NaN,NaN,7.43,9.05,7.03,0.13,3.02,1.02,0.15,NaN,99.22,61,200,203,NaN,78,65,24,682,14,66,2,254,8,26,18,0.67,1.86,0.15,4,1.07,13,23,3.13,13.36,3.13,0.97,2.85,0.45,NaN,NaN,1.52,0.23,1.41,0.22
MP-17-04,Lava,Lava Manantial Pelado,"Winslow,2018",Manantial Pelado,52.62,17.81,0.69,NaN,NaN,7.48,9.43,7.37,0.14,2.94,0.9,0.14,NaN,99.52,89,198,221,NaN,85,67,17,699,14,63,2,259,9,26,19,0.89,1.82,0.14,3,0.93,15,21,3.01,13.05,3.08,0.96,2.79,0.44,NaN,NaN,1.52,0.22,1.39,0.22
MP-17-05,Lava,Lava Manantial Pelado,"Winslow,2018",Manantial Pelado,52.96,19.08,0.79,NaN,NaN,7.34,9.5,5.24,0.14,3.23,0.9,0.16,NaN,99.34,92,234,73,NaN,33,69,17,736,17,65,2,252,9,28,20,0.97,1.9,0.13,3,0.81,11,26,3.23,14.01,3.4,1.08,3.16,0.51,NaN,NaN,1.89,0.28,1.77,0.29
MP-17-08,Lava,Lava Manantial Pelado,"Winslow,2018",Manantial Pelado,60.73,16.06,1.34,NaN,NaN,6.73,4.48,1.99,0.14,5.03,2.46,0.53,NaN,99.49,15,97,0,NaN,2,94,71,400,31,205,7,540,15,17,20,3.56,5.68,0.52,9,2.2,25,60,7.71,32.33,7.48,1.91,6.8,1.06,NaN,NaN,3.26,0.46,2.92,0.45
MP-17-09,Lava,Lava Manantial Pelado,"Winslow,2018",Manantial Pelado,52.32,18.64,0.93,NaN,NaN,8.25,9.04,5.82,0.14,3.48,0.84,0.17,NaN,99.63,94,220,99,NaN,60,75,14,644,18,75,1,286,7,26,21,0.62,2.18,0.17,4,0.71,12,25,3.18,13.98,3.48,1.16,3.39,0.54,NaN,NaN,1.84,0.27,1.64,0.26
MP-17-15,Lava,Lava Manantial Pelado,"Winslow,2018",Manantial Pelado,60.4,16.14,1.36,NaN,NaN,6.95,4.63,2.1,0.15,4.83,2.41,0.56,NaN,99.53,17,103,0,NaN,2,98,70,407,32,203,7,531,15,19,20,3.48,5.6,0.51,9,2.15,24,60,7.69,32.6,7.51,1.93,6.91,1.08,NaN,NaN,3.33,0.47,2.92,0.45
MP-17-22bh,Lava,Lava Manantial Pelado,"Winslow,2018",Manantial Pelado,61.65,16.01,1.3,NaN,NaN,6.4,4.03,1.75,0.14,5.11,2.61,0.5,NaN,99.5,12,65,3,NaN,4,97,76,387,36,217,8,578,15,17,20,2.86,6.05,0.55,9,2.32,27,61,8.23,34.74,7.86,2,7.23,1.12,NaN,NaN,3.53,0.5,3.13,0.5
MP-17-22be,Lava,Lava Manantial Pelado,"Winslow,2018",Manantial Pelado,53.86,17.35,0.76,NaN,NaN,7.29,8.35,6.65,0.13,3.36,1.1,0.19,NaN,99.04,10,194,189,NaN,72,78,23,747,15,79,2,336,10,25,18,1.08,2.21,0.19,4,1,13,26,3.81,15.98,3.6,1.1,3.17,0.49,NaN,NaN,1.65,0.24,1.5,0.23
MP-17-25,Lava,Lava Manantial Pelado,"Winslow,2018",Manantial Pelado,53.43,17.95,0.92,NaN,NaN,8.1,8.93,5.31,0.14,3.4,1,0.18,NaN,99.36,102,217,81,NaN,41,76,21,515,17,93,3,268,7,27,18,0.82,2.6,0.19,4,0.76,11,27,3.34,14.46,3.6,1.1,3.41,0.56,NaN,NaN,1.86,0.26,1.64,0.26
MP-17-26a-S1,Lava,Lava Manantial Pelado,"Winslow,2018",Manantial Pelado,53.99,17.86,1.08,NaN,NaN,8.52,8.15,4.2,0.15,3.72,1.09,0.22,NaN,98.98,91,217,45,NaN,21,84,25,603,19,100,2,319,10,25,20,1.49,2.78,0.23,3,1.03,12,33,4.08,17.44,4.18,1.32,3.86,0.61,NaN,NaN,1.94,0.27,1.69,0.27
MP-17-26c,Lava,Lava Manantial Pelado,"Winslow,2018",Manantial Pelado,54.04,17.82,1.08,NaN,NaN,8.38,8.36,4.32,0.14,3.94,1.1,0.23,NaN,99.41,85,231,47,NaN,22,82,25,605,19,99,3,312,10,25,20,1.43,2.76,0.22,4,1.05,12,30,4.02,17.21,4.16,1.29,3.82,0.61,NaN,NaN,1.9,0.27,1.66,0.26
MP-17-29,Lava,Lava Manantial Pelado,"Winslow,2018",Manantial Pelado,53.3,18.3,0.75,NaN,NaN,7.75,8.39,6.37,0.14,3.33,0.98,0.14,NaN,99.45,71,207,106,NaN,74,70,22,691,15,66,2,245,6,26,19,0.73,1.83,0.14,3,0.87,10,23,2.93,12.86,3.04,0.98,2.87,0.46,NaN,NaN,1.74,0.24,1.58,0.26
